city,town,AKP,CHP,MHP,HDP,others
Adana,ALADAĞ,50.09,11.5,33.47,0.51,1.75
Adana,CEYHAN,25.84,25.84,27.22,18.27,1.19
Adana,ÇUKUROVA,23.15,40.8,25.79,7.29,1.47
Adana,FEKE,47.01,15.32,31.49,0.67,2.09
Adana,İMAMOĞLU,45.92,22.17,25.52,2.37,2.2
Adana,KARAİSALI,55.3,9.36,30.95,0.62,1.63
Adana,KARATAŞ,23.22,41.66,26.37,6.69,0.78
Adana,KOZAN,42.9,20.71,30.72,1.29,2.37
Adana,POZANTI,45.38,21.22,27.08,1.81,2.42
Adana,SAİMBEYLİ,48.36,11.86,34.82,0.55,1.4
Adana,SARIÇAM,36.64,16.35,38.78,4.98,1.78
Adana,SEYHAN,25.88,31.42,18.06,21.43,1.49
Adana,TUFANBEYLİ,35.36,18.99,38.95,1.01,2.61
Adana,YUMURTALIK,32.96,25.98,35.66,2.5,0.99
Adana,YÜREĞİR,33.78,24.15,18.58,19.63,1.37
Adıyaman,BESNİ,52.42,24.03,4.67,15.17,1.42
Adıyaman,ÇELİKHAN,57.56,9.16,2.0,27.14,2.74
Adıyaman,GERGER,70.91,5.0,1.38,17.44,2.7
Adıyaman,GÖLBAŞI,48.5,27.82,10.95,9.14,1.29
Adıyaman,KAHTA,68.59,1.71,0.94,25.76,1.45
Adıyaman,Merkez,54.49,9.66,4.51,27.8,2.28
Adıyaman,SAMSAT,71.21,2.71,2.8,16.32,5.75
Adıyaman,SİNCİK,90.71,1.0,1.07,5.12,1.04
Adıyaman,TUT,56.24,24.51,8.06,6.57,1.8
Afyonkarahisar,BAŞMAKÇI,41.26,31.42,22.56,0.65,0.95
Afyonkarahisar,BAYAT,51.46,18.63,22.11,2.05,1.9
Afyonkarahisar,BOLVADİN,62.56,10.56,22.44,0.98,1.8
Afyonkarahisar,ÇAY,45.45,22.73,26.83,0.94,1.6
Afyonkarahisar,ÇOBANLAR,53.05,14.38,29.11,0.53,1.5
Afyonkarahisar,DAZKIRI,43.37,27.75,25.06,0.53,1.4
Afyonkarahisar,DİNAR,44.17,21.61,29.11,0.99,1.83
Afyonkarahisar,EMİRDAĞ,48.7,24.77,20.6,1.18,2.51
Afyonkarahisar,EVCİLER,41.62,30.93,24.34,0.33,0.84
Afyonkarahisar,HOCALAR,55.91,10.85,26.49,0.69,1.96
Afyonkarahisar,İHSANİYE,56.5,11.69,27.91,0.46,1.47
Afyonkarahisar,İSCEHİSAR,64.67,7.15,19.22,0.48,3.34
Afyonkarahisar,KIZILÖREN,43.89,13.49,37.31,0.69,1.54
Afyonkarahisar,Merkez,53.48,13.74,27.18,1.39,2.59
Afyonkarahisar,SANDIKLI,53.5,15.52,24.94,0.85,2.52
Afyonkarahisar,SİNANPAŞA,56.95,13.33,24.34,0.51,1.97
Afyonkarahisar,SULTANDAĞI,24.97,46.86,22.59,1.71,0.96
Afyonkarahisar,ŞUHUT,55.93,18.43,20.35,0.6,1.98
Ağrı,DİYADİN,6.37,0.83,1.02,88.88,1.41
Ağrı,DOĞUBAYAZIT,6.82,0.82,1.62,89.53,0.38
Ağrı,ELEŞKİRT,29.14,1.43,2.59,62.48,1.82
Ağrı,HAMUR,15.35,0.55,0.7,79.3,2.13
Ağrı,Merkez,30.44,1.32,3.65,60.97,1.47
Ağrı,PATNOS,7.62,0.86,1.35,89.03,0.41
Ağrı,TAŞLIÇAY,12.8,1.04,4.2,79.69,0.73
Ağrı,TUTAK,13.56,1.1,7.72,75.9,0.65
Aksaray,AĞAÇÖREN,64.03,5.66,25.84,0.33,2.02
Aksaray,ESKİL,62.89,6.24,27.07,0.51,1.58
Aksaray,GÜLAĞAÇ,55.41,16.81,22.4,1.9,1.47
Aksaray,GÜZELYURT,58.1,14.91,23.4,1.0,0.87
Aksaray,Merkez,57.79,5.6,31.88,2.01,1.2
Aksaray,ORTAKÖY,60.05,7.11,28.5,1.04,1.65
Aksaray,SARIYAHŞİ,57.87,10.5,25.76,0.83,3.01
Amasya,GÖYNÜCEK,51.47,23.04,19.6,1.35,2.13
Amasya,GÜMÜŞHACIKÖY,36.2,46.24,12.42,1.42,2.23
Amasya,HAMAMÖZÜ,47.17,24.99,21.75,0.56,2.32
Amasya,Merkez,44.98,24.34,25.87,1.27,2.05
Amasya,MERZİFON,39.45,35.67,19.97,1.28,2.36
Amasya,SULUOVA,61.35,12.93,19.71,0.94,3.34
Amasya,TAŞOVA,46.88,16.7,31.68,0.73,1.22
Ankara,AKYURT,66.4,8.72,15.9,2.21,3.89
Ankara,BALA,54.12,13.11,17.79,11.12,1.0
Ankara,ÇANKAYA,18.91,51.57,16.04,8.53,1.24
Ankara,ELMADAĞ,36.0,28.84,22.94,4.84,3.71
Ankara,ETİMESGUT,37.99,28.87,21.19,5.21,1.85
Ankara,EVREN,53.69,16.42,23.63,0.78,1.45
Ankara,GÖLBAŞI,44.03,20.08,22.11,5.95,2.41
Ankara,HAYMANA,58.04,9.33,9.4,18.52,1.59
Ankara,MAMAK,41.63,33.11,15.94,4.7,1.87
Ankara,POLATLI,46.91,17.88,22.84,6.87,1.65
Ankara,SİNCAN,54.08,15.0,20.41,3.93,2.6
Ankara,ŞEREFLİKOÇHİSAR,46.12,19.25,23.27,5.0,1.36
Ankara,AKYURT,0.0,0.0,0.0,0.0,0.0
Ankara,ALTINDAĞ,54.77,21.64,13.33,4.13,2.31
Ankara,AYAŞ,48.72,17.44,23.3,2.6,2.85
Ankara,BEYPAZARI,48.21,13.43,28.8,3.27,1.48
Ankara,ÇAMLIDERE,72.35,10.06,12.55,0.32,1.68
Ankara,ÇUBUK,66.59,11.15,13.47,1.76,2.85
Ankara,ELMADAĞ,0.0,0.0,0.0,0.0,0.0
Ankara,GÜDÜL,61.24,13.0,19.49,0.56,1.32
Ankara,KALECİK,54.87,18.71,19.7,0.85,1.8
Ankara,KAZAN,58.59,10.97,22.0,2.28,2.32
Ankara,KEÇİÖREN,47.0,23.48,19.09,3.89,1.96
Ankara,KIZILCAHAMAM,58.45,10.82,22.25,0.79,4.19
Ankara,NALLIHAN,44.76,25.75,22.96,0.73,1.68
Ankara,PURSAKLAR,66.64,9.08,14.99,1.52,2.98
Ankara,YENİMAHALLE,36.01,34.06,17.47,5.47,1.68
Antalya,AKSEKİ,48.53,30.62,14.8,0.84,1.97
Antalya,AKSU,39.71,23.18,26.43,7.54,1.28
Antalya,ALANYA,40.77,22.05,28.95,5.36,1.07
Antalya,DEMRE,42.08,25.63,24.28,1.64,3.52
Antalya,DÖŞEMEALTI,40.95,29.96,19.94,5.81,1.29
Antalya,ELMALI,42.98,27.79,19.49,2.54,2.54
Antalya,FİNİKE,35.91,32.45,23.97,3.03,1.11
Antalya,GAZİPAŞA,37.14,32.14,24.61,1.75,1.52
Antalya,GÜNDOĞMUŞ,49.96,19.15,22.07,1.03,1.67
Antalya,İBRADI,45.91,37.53,11.65,0.47,1.19
Antalya,KAŞ,37.43,33.46,21.49,2.9,1.24
Antalya,KEMER,31.35,32.57,25.03,8.66,0.85
Antalya,KEPEZ,37.64,26.36,20.55,12.63,1.4
Antalya,KONYAALTI,23.59,48.32,17.28,7.77,1.01
Antalya,KORKUTELİ,45.17,24.24,21.84,1.81,4.69
Antalya,KUMLUCA,39.54,27.43,25.4,4.6,1.23
Antalya,MANAVGAT,36.07,32.41,24.27,4.45,1.08
Antalya,MURATPAŞA,26.3,45.72,17.52,7.49,1.0
Antalya,SERİK,35.82,31.39,27.08,2.44,1.05
Ardahan,ÇILDIR,28.28,33.38,12.79,3.43,14.85
Ardahan,DAMAL,6.13,76.6,1.47,8.33,4.37
Ardahan,GÖLE,30.51,9.76,2.6,48.59,3.14
Ardahan,HANAK,25.75,40.77,6.12,9.28,11.37
Ardahan,Merkez,21.28,15.0,10.78,39.14,9.91
Ardahan,POSOF,50.92,18.54,10.5,5.27,7.93
Artvin,ARDANUÇ,30.1,44.21,19.13,1.79,1.46
Artvin,ARHAVİ,42.97,32.63,18.32,1.68,2.15
Artvin,BORÇKA,46.58,21.48,25.71,1.51,2.49
Artvin,HOPA,29.08,39.36,21.25,7.3,1.35
Artvin,Merkez,34.14,33.55,25.59,2.07,1.66
Artvin,MURGUL,31.39,32.78,30.73,1.29,1.36
Artvin,ŞAVŞAT,35.07,33.56,23.25,1.9,1.76
Artvin,YUSUFELİ,59.04,12.58,22.48,0.63,1.41
Aydın,AYDIN MERKEZ,0.0,0.0,0.0,0.0,0.0
Aydın,BOZDOĞAN,38.01,36.7,19.4,0.87,1.6
Aydın,BUHARKENT,32.72,38.63,19.45,5.8,1.33
Aydın,ÇİNE,36.38,39.98,17.36,1.55,1.23
Aydın,DİDİM,20.82,45.75,14.83,15.79,1.24
Aydın,EFELER,28.19,40.08,18.58,10.21,1.26
Aydın,GERMENCİK,22.52,36.48,20.29,17.92,0.77
Aydın,İNCİRLİOVA,34.34,36.12,20.47,6.91,0.73
Aydın,KARACASU,34.25,42.74,17.56,1.16,1.0
Aydın,KARPUZLU,48.36,31.4,15.63,0.74,1.0
Aydın,KOÇARLI,42.01,36.9,15.63,2.55,0.81
Aydın,KÖŞK,50.42,15.73,23.44,6.56,1.66
Aydın,KUŞADASI,20.19,51.68,16.34,8.81,1.32
Aydın,KUYUCAK,39.26,40.91,16.07,0.68,0.84
Aydın,NAZİLLİ,30.41,39.65,19.05,7.47,1.36
Aydın,SÖKE,22.14,42.97,18.18,14.08,0.87
Aydın,SULTANHİSAR,30.29,40.75,17.69,8.42,1.15
Aydın,YENİPAZAR,42.91,36.25,16.53,1.21,0.83
Balıkesir,ALTIEYLÜL,44.15,25.89,24.07,2.35,2.01
Balıkesir,AYVALIK,21.71,52.65,16.27,6.66,1.14
Balıkesir,BALIKESİR MERKEZ,0.0,0.0,0.0,0.0,0.0
Balıkesir,BALYA,40.29,35.42,17.67,1.65,1.51
Balıkesir,BANDIRMA,30.25,43.6,18.64,4.28,1.52
Balıkesir,BİGADİÇ,50.41,22.67,20.64,1.49,2.86
Balıkesir,BURHANİYE,29.38,45.89,15.64,5.9,0.95
Balıkesir,DURSUNBEY,69.05,8.7,14.47,0.56,4.88
Balıkesir,EDREMİT,27.45,46.77,16.04,6.19,1.53
Balıkesir,ERDEK,28.16,55.95,10.93,2.2,0.93
Balıkesir,GÖMEÇ,28.93,44.25,18.41,5.71,0.87
Balıkesir,GÖNEN,39.76,33.69,21.1,2.12,1.25
Balıkesir,HAVRAN,47.52,25.32,22.07,0.63,1.78
Balıkesir,İVRİNDİ,53.32,22.06,18.78,0.73,1.97
Balıkesir,KARESİ,43.69,24.48,25.98,1.92,2.55
Balıkesir,KEPSUT,57.64,12.44,23.56,0.99,2.93
Balıkesir,MANYAS,33.81,45.97,15.75,1.2,1.05
Balıkesir,MARMARA,38.97,40.12,14.21,4.19,0.9
Balıkesir,SAVAŞTEPE,48.34,21.71,24.9,1.58,1.23
Balıkesir,SINDIRGI,45.96,22.72,26.58,0.48,1.96
Balıkesir,SUSURLUK,36.31,38.12,20.73,1.44,1.51
Bartın,AMASRA,31.19,40.92,19.05,1.35,3.51
Bartın,KURUCAŞİLE,36.87,37.18,15.7,0.67,4.32
Bartın,Merkez,40.5,30.59,19.05,1.37,5.13
Bartın,ULUS,55.34,21.34,13.28,0.53,3.36
Batman,BEŞİRİ,17.55,0.34,0.63,74.76,4.69
Batman,GERCÜŞ,26.03,0.91,1.65,59.05,9.17
Batman,HASANKEYF,25.99,1.2,1.46,63.08,5.73
Batman,KOZLUK,18.27,0.61,0.74,75.55,3.71
Batman,Merkez,16.36,0.68,1.18,74.11,5.72
Batman,SASON,39.7,3.64,1.64,46.93,4.57
Bayburt,AYDINTEPE,63.62,2.11,29.19,0.12,2.94
Bayburt,DEMİRÖZÜ,68.37,5.22,21.43,0.36,3.2
Bayburt,Merkez,58.74,2.12,33.79,1.3,2.84
Bilecik,BOZÜYÜK,32.59,32.64,26.38,4.93,1.98
Bilecik,GÖLPAZARI,43.67,32.41,18.24,0.86,1.4
Bilecik,İNHİSAR,42.56,32.32,18.85,0.99,2.09
Bilecik,Merkez,36.39,29.22,27.58,2.98,1.7
Bilecik,OSMANELİ,44.21,25.08,24.21,1.31,3.23
Bilecik,PAZARYERİ,42.2,20.38,30.07,3.76,1.13
Bilecik,SÖĞÜT,40.04,26.88,23.75,2.61,4.85
Bilecik,YENİPAZAR,49.73,28.15,18.54,0.41,1.07
Bingöl,ADAKLI,40.7,2.13,1.81,47.76,1.54
Bingöl,GENÇ,63.22,0.71,2.06,25.97,4.03
Bingöl,KARLIOVA,10.14,0.55,1.38,78.4,6.05
Bingöl,KİĞI,31.13,7.58,7.21,49.21,1.2
Bingöl,Merkez,49.58,1.02,3.27,38.3,4.07
Bingöl,SOLHAN,63.18,0.64,1.82,25.22,5.4
Bingöl,YAYLADERE,17.77,5.08,8.16,65.64,1.18
Bingöl,YEDİSU,20.08,11.8,1.76,63.07,0.65
Bitlis,ADİLCEVAZ,26.73,1.84,6.73,61.88,0.77
Bitlis,AHLAT,26.96,1.85,7.81,61.42,0.76
Bitlis,GÜROYMAK,26.21,0.9,1.34,69.32,0.61
Bitlis,HİZAN,36.56,0.77,1.06,58.67,0.65
Bitlis,Merkez,34.48,1.86,4.02,53.98,2.62
Bitlis,MUTKİ,55.79,1.23,2.6,35.4,1.35
